id,nombre,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,estadoOperativo,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,fechaInstalacion,CODIGO_INTERNO,CONTRATO_COD,modelo,tipo,accesibilidad,IndicadorExposicion
5270840,tobogan autoportante en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,437927.48,4475402.75,etrs89,40.42694518,-3.73176224,calle,felipe moratilla,7,28008,,11051665,2020-02-07,0908651,ae21,,infantiles,no,medio
52798,balancin en area infantil,11,palacio,1,centro,operativo,439376.696,4473906.413,etrs89,40.41357238,-3.71453633,cuesta,ciegos,2,28005,"c · calle cuesta de los ciegos 2 , ascendiente 1:",20105119,2004-01-01,0101514,ae21,liebre,infantiles,no,bajo
52804,balancin en area infantil,11,palacio,1,centro,operativo,439299.354,4473477.382,etrs89,40.40970183,-3.71540692,calle,rosario,27,28005,"c · calle rosario , ascendiente 1: 011 · palacio",11001199,2004-01-01,0101911,ae21,leon,infantiles,no,bajo
5239368,varios juegos en areas infantiles,166,valdefuentes,16,hortaleza,operativo,446910.02,4481794.24,etrs89,40.48514497,-3.62640965,avenida,avenida de las fuerzas armadas,11,28055,,,1996-01-01,5239368_CODIGO_INTERNO_desconocido,6,5592700 acqua excavadora de arena topo,infantiles,no,bajo
5249154,carrusel en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,435551.63,4473623.18,etrs89,40.41073352,-3.75958812,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5249154_CODIGO_INTERNO_desconocido,6,jmc-14 hongo carrusel,infantiles,no,bajo
5249940,columpio en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,436584.06,4474601.28,etrs89,40.41962392,-3.7475184,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5249940_CODIGO_INTERNO_desconocido,6,120402 columpio (124841 asiento plano),infantiles,no,bajo
5250204,laberinto en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,435551.92,4473632.04,etrs89,40.41081336,-3.7595856,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5250204_CODIGO_INTERNO_desconocido,6,jmc-33a laberinto 28 casillas,infantiles,no,bajo
5241087,varios juegos en areas infantiles,143,marroquina,14,moratalaz,operativo,445481.3,4473593.48,etrs89,40.41117555,-3.64256215,avenida,avenida del doctor garcia tapia,125,28030,,,1996-01-01,5241087_CODIGO_INTERNO_desconocido,6,m631 tic-tac,infantiles,no,alto
52761,multijuego en area infantil,11,palacio,1,centro,operativo,439855.396,4474606.67,etrs89,40.41991535,-3.70896075,calle,cuesta de santo domingo,16,28013,"c · calle cuesta de santo domingo 16 , ascendient",11000186,2007-07-16,0103208,ae21,,infantiles,no,bajo
5250219,muelle en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,436614.17,4474609.74,etrs89,40.41970242,-3.74716435,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5250219_CODIGO_INTERNO_desconocido,6,121467 leon,infantiles,no,bajo
52841,balancin en area infantil,56,castilla,5,chamartin,operativo,442794.73,4481529.7,etrs89,40.48248853,-3.67493907,calle,pastora imperio,2,28036,,11027423,2013-07-23,0505806,ae21,ovni,infantiles,no,bajo
52859,muelle en area infantil,145,fontarron,14,moratalaz,operativo,444502.568,4472987.202,etrs89,40.40564917,-3.65404399,avenida,moratalaz,000056,28030,"avda moratalaz, 000056",20152924,2011-06-02,1401210,ae21,tortuga,infantiles,no,alto
52916,arenero en area infantil,172,san cristobal,17,villaverde,operativo,441648.971,4466425.016,etrs89,40.34633817,-3.68707099,calle,burjasot,20,28021,"burjasot, 000020",11142982,2003-01-01,1706306,ae21,madera,infantiles,no,medio
52994,escalada en area infantil,171,villaverde alto - casco historico de villaverde,17,villaverde,operativo,439045.473,4467938.707,etrs89,40.35978817,-3.71786899,avenida,rafaela ybarra,130,28041,"avda rafaela ybarra, 000130",31054821,2012-08-01,1711013,ae21,piramide red,infantiles,no,alto
52819,balancin en area infantil,13,cortes,1,centro,operativo,441137.526,4474247.154,etrs89,40.41676833,-3.69381531,paseo,prado,6,28014,"pº · paseo prado 6 , ascendiente 1: 013 · cortes",20147785,2004-01-01,0102706,ae21,caballo,infantiles,no,bajo
5250226,muelle en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,437756.21,4475284.91,etrs89,40.42587083,-3.73376962,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5250226_CODIGO_INTERNO_desconocido,6,mc-01 moto,infantiles,no,alto
5250493,multijuego en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,436731.38,4473491.47,etrs89,40.40963753,-3.74567162,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5250493_CODIGO_INTERNO_desconocido,6,j3800m estructura de trepa (tripode),infantiles,no,bajo
5250513,multijuego en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,436569.79,4474625.56,etrs89,40.41984155,-3.74768901,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5250513_CODIGO_INTERNO_desconocido,6,castillo,infantiles,no,medio
52870,balancin en area infantil,144,media legua,14,moratalaz,operativo,444111.49,4474038.997,etrs89,40.41509817,-3.65874499,calle,felix rodriguez de la fuente,65,28030,"felix rodriguez de la fuente, 000065",11102086,2011-02-06,1403303,ae21,moto,infantiles,no,medio
52912,arenero en area infantil,134,palomeras sureste,13,puente de vallecas,operativo,445924.168,4470935.33,etrs89,40.38725817,-3.637117,calle,leon felipe,10 b,28038,"leon felipe, 000010  b",11096561,2007-07-11,1316203,ae21,tablon,infantiles,no,medio
