ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
5246188,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,433984.12,4473829.99,etrs89,40.41247369,-3.77808264,paseo,paseo puerta del angel,1,28011.0,,,1998-01-01,5246188_CODIGO_INTERNO_desconocido,6,7,infantil
5246190,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,436078.65,4473859.85,etrs89,40.41290617,-3.75340095,paseo,paseo puerta del angel,1,28011.0,,,1998-01-01,5246190_CODIGO_INTERNO_desconocido,6,5,infantil
5246192,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,437458.63,4474485.05,etrs89,40.41864306,-3.73719875,paseo,paseo puerta del angel,1,28011.0,,,1998-01-01,5246192_CODIGO_INTERNO_desconocido,6,12,infantil
5246194,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,437747.47,4475273.16,etrs89,40.42576433,-3.7338715,paseo,paseo puerta del angel,1,28011.0,,,1998-01-01,5246194_CODIGO_INTERNO_desconocido,6,2,infantil
5246196,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,437483.26,4475505.54,etrs89,40.42783789,-3.73700878,paseo,paseo puerta del angel,1,28011.0,,,1998-01-01,5246196_CODIGO_INTERNO_desconocido,6,6,infantil
5272342,area infantil,166,valdefuentes,16.0,hortaleza,operativo,448221.43,4482744.36,etrs89,40.49378698,-3.61101477,calle,jordi sole tura,8,28055.0,,31039531.0,2020-01-20,16235,ae21,13,infantil
5802272,area infantil,183,ensanche de vallecas,18.0,villa de vallecas,operativo,446859.85,4469738.14,etrs89,40.3765333,-3.62599366,calle,villar del olmo,4f,28031.0,"villar del olmo, 000004  f",31020614.0,1998-01-01,18096,ae21,10,infantil
6819611,area de juegos/especial,131,entrevias,13.0,puente de vallecas,operativo,441797.38,4469732.26,etrs89,40.37614215,-3.6856254,6819611_TIPO_VIA_desconocido,6819611_NOM_VIA_desconocido,6819611_NUM_VIA_desconocido,0.0,,,1998-01-01,ai_100005,6,34,infantil
6819613,area de juegos/especial,123,san fermin,12.0,usera,operativo,441541.36,4469668.94,etrs89,40.37555381,-3.6886353,6819613_TIPO_VIA_desconocido,6819613_NOM_VIA_desconocido,6819613_NUM_VIA_desconocido,0.0,,,1998-01-01,ai_100002,6,8,infantil
6819615,area de juegos/especial,131,entrevias,13.0,puente de vallecas,operativo,441714.64,4470014.96,etrs89,40.37868309,-3.68662586,6819615_TIPO_VIA_desconocido,6819615_NOM_VIA_desconocido,6819615_NUM_VIA_desconocido,0.0,,,1998-01-01,ai_100004,6,1,infantil
6819617,area de juegos/especial,123,san fermin,12.0,usera,operativo,441663.75,4469270.35,etrs89,40.37197166,-3.68715718,6819617_TIPO_VIA_desconocido,6819617_NOM_VIA_desconocido,6819617_NUM_VIA_desconocido,0.0,,,1998-01-01,ai_100007,6,14,infantil
6819619,area de juegos/especial,173,butarque,17.0,villaverde,operativo,442405.42,4467402.73,etrs89,40.35519859,-3.6782528,6819619_TIPO_VIA_desconocido,6819619_NOM_VIA_desconocido,6819619_NUM_VIA_desconocido,0.0,,,1998-01-01,ai_100009,6,15,infantil
6819621,area de juegos/especial,173,butarque,17.0,villaverde,operativo,442732.34,4467113.95,etrs89,40.35261959,-3.67437721,6819621_TIPO_VIA_desconocido,6819621_NOM_VIA_desconocido,6819621_NUM_VIA_desconocido,0.0,,,2019-10-07,ai_100011,6,4,infantil
6907760,area infantil,144,media legua,14.0,moratalaz,operativo,443993.324,4473245.392,etrs89,40.40794099,-3.66006784,avenida,moratalaz,27,28030.0,avenida de moratalaz 27,11101922.0,2020-04-24,14112,ae21,15,infantil
